test_loss,test_acc,test_ece,test_nll,epoch,test_ts_agree,test_ts_kl,test_cka_0,test_cka_1,test_cka_2,teacher_train_acc,teacher_test_acc,train_loss,train_acc,train_ts_agree,train_ece,train_ts_kl,lr
6.649446499498585,1.06,0.15701749920845032,6.6157130832913555,0,1.15,5.807967391195176,0.8653553852901752,0.6983213480092362,0.42452388233508054,80.232,60.46,,,,,,
2.3890824438650395,40.49,0.16904693841934204,13.128713547428951,10,43.98,1.5492441246781168,0.9126196680145569,0.8504203646106726,0.9721505650341864,80.232,60.46,63.50367711450133,39.806,42.558,0.11178220063447952,1.476038059005347,0.0004945369001834514
1.911983133871344,50.92,0.14951543509960175,14.22659307793726,20,55.69,1.0712214315993875,0.9143262928919075,0.8698511695141521,0.9867430342806432,80.232,60.46,62.14251880694533,52.12,55.778,0.0808819830417633,0.9618646093951467,0.00047838636441065006
1.733379572252684,54.9,0.13412761688232422,14.584687414048593,30,60.46,0.8912267881103709,0.9154366469392915,0.8823211459458391,0.9734487508292003,80.232,60.46,61.70487985830478,57.256,61.474,0.0615231990814209,0.7796796023693231,0.00045225424859373666
1.7024301305601868,55.41,0.13719594478607178,14.44026546236835,40,61.11,0.8565754747088952,0.9056003940820561,0.9090098087201001,0.9774514166489663,80.232,60.46,61.50859451293945,59.598,64.118,0.051444850862026215,0.6905182141934514,0.00041728265158971447
1.6303794444361819,57.05,0.12722250819206238,14.6683772726904,50,63.43,0.786658365515214,0.8992688581376851,0.8983791546149275,0.9761852354830141,80.232,60.46,61.359717103221534,61.268,65.956,0.04412570968270302,0.6381130715465302,0.0003749999999999999
1.593605195419698,58.69,0.11512140184640884,14.839165578914594,60,64.29,0.7502356133883512,0.9011923661750937,0.908586611430031,0.97262654525239,80.232,60.46,61.26406741325203,62.41,67.084,0.03936032950878143,0.598378152722288,0.0003272542485937367
1.548123347608349,59.34,0.11482584476470947,14.68796402894998,70,65.51,0.7059624330906928,0.8964042988776338,0.9027585043379002,0.9630809146896817,80.232,60.46,61.22045987219457,63.552,68.44,0.03220807760953903,0.5639397222215258,0.00027613211581691325
1.524503434760661,59.7,0.11331234127283096,14.807880329180367,80,66.2,0.6831736142122293,0.8918943793116356,0.9022936230259646,0.9563014718552327,80.232,60.46,61.14235701890248,64.39,69.336,0.027337374165654182,0.5494159679583577,0.00022386788418308644
1.5079501218433622,59.89,0.11128261685371399,14.711802542964115,90,66.49,0.6682432188263422,0.8919953116829968,0.9018413123360697,0.9519803139024379,80.232,60.46,61.10338212035196,65.006,70.024,0.023991640657186508,0.5293990024520309,0.000172745751406263
1.504023850718631,60.44,0.10992506146430969,14.908616379846501,100,66.97,0.6638105157055433,0.8903794268507867,0.8878540732131631,0.9467312420971022,80.232,60.46,61.066658576126294,65.252,70.122,0.023627936840057373,0.514815871672862,0.00012499999999999984
1.4877286953262137,60.57,0.10708197951316833,14.780490573448471,110,66.94,0.6438950745365287,0.8890382848914038,0.8968423362019742,0.9509639100076126,80.232,60.46,61.070990442924796,65.396,70.2,0.02412513643503189,0.5052271354228944,8.271734841028538e-05
1.478631386274024,60.79,0.10624144971370697,14.937506687792041,120,67.5,0.6389056402671186,0.8897618134188389,0.9002472144975644,0.9441348561156179,80.232,60.46,61.0120536531024,65.858,70.518,0.019846666604280472,0.49522036893288496,4.774575140626314e-05
1.4691648528545718,60.62,0.10687322169542313,14.782749079450776,130,67.45,0.6260314202761348,0.888078429337737,0.8981595369450065,0.9429127273496006,80.232,60.46,60.99933049623924,65.784,70.744,0.02197924070060253,0.49522358461109267,2.16136355893498e-05
1.476910814454284,60.88,0.10540973395109177,14.789627485637423,140,67.66,0.6304731120037127,0.8910386405499932,0.8990473572242804,0.9440283075146607,80.232,60.46,60.99877785294867,66.126,70.922,0.01974453590810299,0.488249287580895,5.463099816548602e-06
1.4727103936521313,60.6,0.10886713862419128,14.85641055771067,150,67.5,0.629849216228799,0.8870333968787963,0.8981741980685234,0.9440393668794638,80.232,60.46,60.985888771388844,66.16,71.094,0.0175036508589983,0.482449978132687,0.0
